timestamp,PREŠERNOV TRG-PETKOVŠKOVO NABREŽJE,POGAČARJEV TRG-TRŽNICA,KONGRESNI TRG-ŠUBIČEVA ULICA,CANKARJEVA UL.-NAMA,BREG,GRUDNOVO NABREŽJE-KARLOVŠKA C.,MIKLOŠIČEV PARK,BAVARSKI DVOR,TRG OF-KOLODVORSKA UL.,MASARYKOVA DDC,VILHARJEVA CESTA,PARK NAVJE-ŽELEZNA CESTA,TRG MDB,PARKIRIŠČE NUK 2-FF,AMBROŽEV TRG,GH ŠENTPETER-NJEGOŠEVA C.,ILIRSKA ULICA,TRŽAŠKA C.-ILIRIJA,TIVOLI,STARA CERKEV,KINO ŠIŠKA,ŠPICA,BARJANSKA C.-CENTER STAREJŠIH TRNOVO,ZALOŠKA C.-GRABLOVIČEVA C.,TRŽNICA MOSTE,ROŽNA DOLINA-ŠKRABČEVA UL.,DUNAJSKA C.-PS PETROL,PLEČNIKOV STADION,DUNAJSKA C.-PS MERCATOR,LIDL - VOJKOVA CESTA,ŠPORTNI CENTER STOŽICE,KOPRSKA ULICA,MERCATOR CENTER ŠIŠKA,CITYPARK,BTC CITY/DVORANA A,BTC CITY ATLANTIS,TRNOVO,P+R BARJE,P + R DOLGI MOST,BONIFACIJA,ANTONOV TRG,BRATOVŠEVA PLOŠČAD,BS4-STOŽICE,SAVSKO NASELJE 2-LINHARTOVA CESTA,SAVSKO NASELJE 1-ŠMARTINSKA CESTA,SITULA,ŠTEPANJSKO NASELJE 1-JAKČEVA ULICA,HOFER-KAJUHOVA,BRODARJEV TRG,PREGLOV TRG,LIDL-LITIJSKA CESTA,ŽIVALSKI VRT,CESTA NA ROŽNIK,ŠMARTINSKI PARK,POLJANSKA-POTOČNIKOVA,SREDNJA FRIZERSKA ŠOLA,POVŠETOVA-GRABLOVIČEVA,TRŽNICA KOSEZE,LIDL BEŽIGRAD,MERCATOR MARKET - CELOVŠKA C. 163,RAKOVNIK,ALEJA - CELOVŠKA CESTA,IKEA,KOPALIŠČE KOLEZIJA,VIŠKO POLJE,KOSEŠKI BAJER,DRAVLJE,ČRNUČE,STUDENEC,POLJE,ZALOG,LIDL - RUDNIK,PRUŠNIKOVA,POVŠETOVA - KAJUHOVA,SOSESKA NOVO BRDO,TEHNOLOŠKI PARK,VOJKOVA - GASILSKA BRIGADA,GERBIČEVA - ŠPORTNI PARK SVOBODA,DOLENJSKA C. - STRELIŠČE,ROŠKA - STRELIŠKA,LEK - VEROVŠKOVA,VOKA - SLOVENČEVA,SUPERNOVA LJUBLJANA - RUDNIK
2022-08-04 23:24:00,174.0,152.0,-6.0,-22.0,3.0,186.0,95.0,11.0,8.0,23.0,62.0,-63.0,19.0,-16.0,116.0,-18.0,59.0,-85.0,168.0,157.0,104.0,0.0,-37.0,-62.0,-38.0,105.0,-6.0,-88.0,25.0,130.0,319.0,18.0,-20.0,-51.0,-44.0,134.0,-67.0,56.0,56.0,3.0,96.0,132.0,-5.0,40.0,57.0,2.0,125.0,122.0,62.0,113.0,97.0,47.0,67.0,-7.0,68.0,-11.0,7.0,-79.0,-53.0,59.0,79.0,-68.0,-19.0,-33.0,-67.0,90.0,-42.0,4.0,62.0,33.0,71.0,16.0,-21.0,-94.0,-63.0,-10.0,-66.0,-154.0,-82.0,-3.0,-34.0,-49.0,87.0
2022-08-05 00:24:00,2768.0,2517.0,-110.0,-406.0,31.0,2328.0,1234.0,148.0,123.0,312.0,740.0,-832.0,252.0,-261.0,1453.0,-235.0,566.0,-1407.0,1636.0,2375.0,1454.0,-85.0,-701.0,-936.0,-786.0,1195.0,-97.0,-1306.0,308.0,1904.0,5709.0,203.0,-337.0,-779.0,-772.0,2039.0,-960.0,770.0,764.0,-28.0,1527.0,1992.0,-205.0,500.0,768.0,-26.0,2151.0,1860.0,889.0,1737.0,1510.0,666.0,908.0,-149.0,999.0,-184.0,20.0,-1389.0,-719.0,716.0,1081.0,-975.0,-301.0,-478.0,-1163.0,1219.0,-708.0,-56.0,822.0,382.0,972.0,210.0,-389.0,-1738.0,-997.0,-221.0,-928.0,-2456.0,-1431.0,-113.0,-629.0,-811.0,1153.0
2022-08-08 04:58:00,-5.0,-9.0,-13.0,-22.0,-8.0,-9.0,2.0,-13.0,-3.0,-16.0,-43.0,-26.0,-19.0,-10.0,0.0,-15.0,-39.0,189.0,11.0,-22.0,198.0,99.0,165.0,20.0,126.0,34.0,-10.0,113.0,122.0,141.0,100.0,33.0,91.0,18.0,13.0,-29.0,21.0,-29.0,127.0,25.0,-53.0,-5.0,122.0,-5.0,-53.0,-44.0,110.0,-38.0,150.0,-107.0,106.0,-30.0,176.0,3.0,10.0,-78.0,158.0,120.0,-34.0,160.0,46.0,-15.0,48.0,56.0,-31.0,-41.0,-22.0,115.0,161.0,48.0,129.0,-35.0,29.0,17.0,107.0,31.0,27.0,137.0,-5.0,29.0,3.0,49.0,-32.0
2022-08-08 05:58:00,-84.0,-159.0,-212.0,-406.0,-141.0,-121.0,29.0,-213.0,-75.0,-250.0,-605.0,-369.0,-297.0,-165.0,-51.0,-204.0,-439.0,2819.0,91.0,-396.0,2855.0,1289.0,2502.0,185.0,1970.0,335.0,-147.0,1469.0,1911.0,2073.0,1710.0,391.0,1184.0,219.0,180.0,-476.0,191.0,-592.0,1838.0,280.0,-984.0,-199.0,1851.0,-186.0,-875.0,-540.0,1868.0,-715.0,2352.0,-1996.0,1664.0,-502.0,2500.0,-10.0,74.0,-997.0,2557.0,1802.0,-487.0,2090.0,577.0,-269.0,674.0,737.0,-599.0,-651.0,-398.0,1638.0,2357.0,610.0,1857.0,-637.0,312.0,134.0,1479.0,479.0,272.0,1915.0,-185.0,395.0,20.0,641.0,-470.0
2022-08-11 21:13:00,85.0,67.0,43.0,210.0,305.0,111.0,59.0,42.0,1.0,45.0,-31.0,-57.0,93.0,38.0,33.0,-38.0,42.0,51.0,64.0,106.0,-100.0,61.0,-72.0,-119.0,-65.0,34.0,13.0,-113.0,-132.0,87.0,88.0,43.0,2.0,-45.0,43.0,0.0,-45.0,40.0,27.0,-8.0,63.0,-28.0,158.0,-60.0,11.0,79.0,105.0,14.0,-52.0,-68.0,50.0,-17.0,17.0,-21.0,-83.0,7.0,14.0,-56.0,-31.0,-81.0,17.0,-39.0,0.0,19.0,35.0,42.0,-41.0,-22.0,4.0,-24.0,12.0,-26.0,-79.0,78.0,74.0,-26.0,-82.0,-77.0,4.0,-46.0,101.0,-65.0,37.0
2022-08-11 22:13:00,1380.0,1125.0,661.0,3628.0,5081.0,1420.0,793.0,642.0,0.0,681.0,-442.0,-782.0,1353.0,574.0,387.0,-473.0,405.0,657.0,647.0,1621.0,-1608.0,747.0,-1249.0,-1766.0,-1264.0,342.0,179.0,-1681.0,-2357.0,1225.0,1491.0,525.0,-35.0,-691.0,680.0,-31.0,-691.0,506.0,315.0,-196.0,966.0,-591.0,2437.0,-1040.0,71.0,854.0,1762.0,110.0,-1022.0,-1353.0,700.0,-307.0,182.0,-337.0,-1407.0,-6.0,130.0,-1023.0,-465.0,-1233.0,124.0,-602.0,-14.0,233.0,431.0,531.0,-699.0,-471.0,-90.0,-480.0,74.0,-476.0,-1248.0,1145.0,981.0,-491.0,-1156.0,-1347.0,-47.0,-794.0,1737.0,-1058.0,475.0
2022-08-16 07:10:00,6.0,2.0,38.0,-9.0,6.0,0.0,27.0,24.0,31.0,13.0,-3.0,-45.0,42.0,12.0,0.0,-15.0,-41.0,68.0,-21.0,-12.0,52.0,-13.0,-33.0,35.0,72.0,-36.0,112.0,-15.0,20.0,105.0,183.0,49.0,-57.0,133.0,-26.0,13.0,48.0,42.0,4.0,36.0,145.0,16.0,153.0,-108.0,30.0,-17.0,-160.0,23.0,16.0,-14.0,-96.0,-36.0,39.0,94.0,100.0,114.0,-25.0,46.0,0.0,133.0,-18.0,68.0,82.0,10.0,-21.0,239.0,3.0,-71.0,69.0,5.0,11.0,61.0,19.0,88.0,58.0,80.0,87.0,124.0,-95.0,141.0,9.0,-1.0,49.0
2022-08-16 08:10:00,103.0,37.0,576.0,-182.0,107.0,2.0,367.0,362.0,565.0,192.0,-91.0,-615.0,601.0,182.0,-50.0,-208.0,-461.0,941.0,-224.0,-230.0,664.0,-280.0,-636.0,378.0,1050.0,-518.0,1528.0,-307.0,197.0,1505.0,3220.0,593.0,-850.0,1887.0,-460.0,182.0,544.0,541.0,-25.0,433.0,2348.0,127.0,2351.0,-1752.0,358.0,-226.0,-3162.0,265.0,115.0,-425.0,-1792.0,-584.0,504.0,1240.0,1506.0,1282.0,-516.0,612.0,-63.0,1707.0,-399.0,839.0,1175.0,119.0,-445.0,3344.0,-12.0,-1210.0,925.0,-40.0,57.0,982.0,161.0,1330.0,758.0,1322.0,1044.0,1709.0,-1656.0,2176.0,134.0,-104.0,638.0
2022-08-18 17:30:00,24.0,3.0,26.0,-36.0,114.0,106.0,177.0,18.0,432.0,94.0,47.0,-52.0,22.0,14.0,109.0,-24.0,27.0,-103.0,27.0,76.0,107.0,32.0,-16.0,-118.0,-27.0,81.0,3.0,-1.0,-131.0,32.0,-59.0,43.0,-69.0,8.0,21.0,110.0,-75.0,-79.0,46.0,-82.0,57.0,-102.0,-28.0,20.0,10.0,54.0,-4.0,65.0,127.0,65.0,-116.0,-21.0,-5.0,-3.0,-36.0,-43.0,33.0,50.0,-77.0,-30.0,-67.0,-36.0,57.0,149.0,-52.0,-25.0,114.0,-8.0,49.0,5.0,85.0,51.0,19.0,-14.0,19.0,56.0,-96.0,-25.0,-4.0,-26.0,-34.0,-52.0,24.0
2022-08-18 18:27:00,362.0,61.0,403.0,-540.0,1872.0,1304.0,2140.0,249.0,7438.0,1289.0,559.0,-698.0,300.0,216.0,1435.0,-274.0,234.0,-1626.0,287.0,1025.0,1498.0,331.0,-334.0,-1625.0,-656.0,849.0,44.0,-122.0,-2222.0,382.0,-1390.0,596.0,-984.0,82.0,325.0,1747.0,-1216.0,-1380.0,628.0,-1306.0,968.0,-1740.0,-576.0,148.0,55.0,568.0,-290.0,928.0,2029.0,859.0,-2191.0,-361.0,-136.0,-89.0,-707.0,-597.0,464.0,720.0,-951.0,-543.0,-1286.0,-514.0,837.0,2170.0,-1004.0,-412.0,1685.0,-257.0,582.0,-38.0,1206.0,777.0,147.0,-424.0,203.0,958.0,-1363.0,-583.0,-200.0,-473.0,-662.0,-916.0,278.0
